cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-0.977,-0.929,-0.949,-0.888,-0.903,-0.829
-0.973,-0.918,-0.95,-0.877,-0.887,-0.805
-0.97,-0.898,-0.946,-0.867,-0.88,-0.779
-0.956,-0.869,-0.944,-0.843,-0.854,-0.749
-0.908,-0.838,-0.929,-0.82,-0.82,-0.708
-0.887,-0.788,-0.912,-0.793,-0.788,-0.668
-0.86,-0.763,-0.882,-0.757,-0.742,-0.622
-0.834,-0.719,-0.856,-0.72,-0.701,-0.573
-0.792,-0.676,-0.817,-0.677,-0.646,-0.519
-0.725,-0.617,-0.777,-0.63,-0.593,-0.471
-0.685,-0.557,-0.729,-0.577,-0.538,-0.406
-0.627,-0.504,-0.678,-0.526,-0.482,-0.35
-0.557,-0.433,-0.626,-0.467,-0.413,-0.286
-0.498,-0.367,-0.56,-0.41,-0.343,-0.218
-0.434,-0.294,-0.51,-0.344,-0.273,-0.159
-0.341,-0.221,-0.441,-0.275,-0.204,-0.093
-0.276,-0.141,-0.368,-0.209,-0.128,-0.026
-0.185,-0.072,-0.298,-0.138,-0.052,0.045
-0.12,0.001,-0.232,-0.073,0.019,0.109
-0.044,0.082,-0.157,-0.006,0.094,0.175
0.04,0.175,-0.086,0.067,0.165,0.242
0.117,0.239,-0.003,0.135,0.234,0.303
0.206,0.304,0.059,0.201,0.303,0.365
0.277,0.386,0.143,0.269,0.372,0.42
0.359,0.456,0.218,0.334,0.445,0.469
0.427,0.517,0.294,0.403,0.498,0.52
0.517,0.592,0.352,0.456,0.563,0.575
0.571,0.655,0.413,0.518,0.621,0.624
0.64,0.703,0.473,0.572,0.675,0.66
0.665,0.74,0.539,0.621,0.712,0.697
0.735,0.787,0.592,0.662,0.752,0.728
0.78,0.822,0.636,0.694,0.799,0.743
0.826,0.866,0.68,0.73,0.821,0.767
0.856,0.876,0.71,0.758,0.853,0.781
0.885,0.908,0.751,0.776,0.874,0.789
0.912,0.916,0.777,0.794,0.884,0.797
0.932,0.921,0.812,0.8,0.893,0.791
0.936,0.917,0.818,0.814,0.892,0.785
0.959,0.91,0.842,0.81,0.884,0.774
0.947,0.9,0.84,0.798,0.872,0.76
0.949,0.878,0.844,0.795,0.874,0.742
0.935,0.845,0.844,0.785,0.856,0.712
0.914,0.824,0.844,0.762,0.831,0.68
0.924,0.824,0.827,0.739,0.787,0.635
0.873,0.757,0.821,0.71,0.768,0.597
0.862,0.723,0.792,0.669,0.714,0.558
0.796,0.66,0.765,0.636,0.671,0.506
0.765,0.618,0.734,0.598,0.628,0.464
0.71,0.562,0.7,0.559,0.577,0.417
0.657,0.494,0.671,0.505,0.527,0.352
0.598,0.425,0.623,0.46,0.458,0.296
0.545,0.373,0.59,0.415,0.41,0.24
0.48,0.306,0.536,0.361,0.336,0.179
0.419,0.239,0.505,0.307,0.277,0.121
0.356,0.177,0.444,0.254,0.21,0.06
0.287,0.111,0.403,0.202,0.15,0.003
0.226,0.033,0.346,0.145,0.09,-0.055
0.162,-0.032,0.302,0.098,0.019,-0.113
0.109,-0.087,0.241,0.044,-0.035,-0.173
0.033,-0.149,0.187,-0.008,-0.106,-0.229
-0.039,-0.211,0.131,-0.06,-0.177,-0.283
-0.105,-0.277,0.08,-0.113,-0.245,-0.339
-0.162,-0.332,0.021,-0.156,-0.29,-0.384
-0.219,-0.384,-0.038,-0.201,-0.364,-0.435
-0.303,-0.457,-0.09,-0.251,-0.416,-0.487
-0.369,-0.505,-0.133,-0.29,-0.466,-0.521
-0.419,-0.552,-0.196,-0.331,-0.528,-0.564
-0.483,-0.599,-0.231,-0.368,-0.572,-0.597
-0.533,-0.626,-0.277,-0.403,-0.614,-0.637
-0.598,-0.681,-0.33,-0.44,-0.657,-0.664
-0.63,-0.713,-0.366,-0.475,-0.702,-0.69
-0.685,-0.747,-0.41,-0.497,-0.745,-0.709
-0.712,-0.774,-0.443,-0.522,-0.763,-0.728
-0.746,-0.791,-0.482,-0.542,-0.793,-0.743
