cont(F)_1_filtered,cont(N)_1_filtered,cont(F)_2_filtered,cont(N)_2_filtered,cont(F)_3_filtered,cont(N)_3_filtered
-0.624,-0.141,-0.824,-0.457,-0.903,-0.855
-0.551,-0.067,-0.79,-0.401,-0.923,-0.817
-0.466,0.013,-0.74,-0.345,-0.924,-0.788
-0.411,0.106,-0.701,-0.282,-0.942,-0.752
-0.326,0.18,-0.658,-0.216,-0.928,-0.722
-0.241,0.256,-0.596,-0.154,-0.935,-0.673
-0.156,0.337,-0.532,-0.088,-0.903,-0.624
-0.06,0.419,-0.484,-0.024,-0.89,-0.562
-0.017,0.476,-0.414,0.046,-0.872,-0.511
0.086,0.535,-0.35,0.11,-0.842,-0.445
0.138,0.595,-0.286,0.171,-0.813,-0.385
0.234,0.646,-0.217,0.237,-0.783,-0.323
0.313,0.713,-0.128,0.301,-0.723,-0.252
0.371,0.75,-0.074,0.36,-0.683,-0.185
0.437,0.787,0.002,0.416,-0.628,-0.115
0.494,0.813,0.067,0.475,-0.577,-0.043
0.573,0.854,0.149,0.524,-0.525,0.024
0.62,0.885,0.206,0.57,-0.462,0.101
0.656,0.876,0.28,0.614,-0.404,0.166
0.719,0.9,0.34,0.656,-0.344,0.25
0.759,0.906,0.408,0.685,-0.265,0.307
0.824,0.91,0.471,0.721,-0.196,0.368
0.862,0.896,0.526,0.745,-0.135,0.437
0.857,0.867,0.575,0.762,-0.058,0.498
0.886,0.849,0.632,0.771,0.005,0.554
0.901,0.834,0.66,0.775,0.076,0.607
0.94,0.811,0.716,0.782,0.133,0.657
0.937,0.765,0.765,0.79,0.212,0.706
0.914,0.727,0.781,0.782,0.285,0.753
0.888,0.672,0.803,0.779,0.332,0.783
0.879,0.62,0.828,0.759,0.4,0.827
0.858,0.564,0.841,0.739,0.48,0.838
0.839,0.505,0.858,0.721,0.516,0.859
0.824,0.456,0.867,0.689,0.561,0.868
0.762,0.387,0.884,0.651,0.63,0.879
0.717,0.312,0.864,0.616,0.653,0.871
0.674,0.242,0.873,0.576,0.693,0.873
0.652,0.199,0.846,0.534,0.74,0.862
0.59,0.125,0.833,0.474,0.747,0.857
0.519,0.047,0.8,0.431,0.778,0.836
0.446,-0.021,0.775,0.383,0.802,0.799
0.405,-0.086,0.756,0.329,0.828,0.781
0.325,-0.149,0.699,0.279,0.837,0.749
0.268,-0.21,0.652,0.215,0.836,0.702
0.206,-0.269,0.612,0.161,0.831,0.66
0.14,-0.339,0.567,0.108,0.833,0.618
0.031,-0.407,0.514,0.049,0.815,0.561
-0.024,-0.452,0.477,-0.001,0.805,0.526
-0.095,-0.497,0.417,-0.057,0.787,0.456
-0.175,-0.568,0.346,-0.121,0.757,0.405
-0.226,-0.597,0.303,-0.174,0.735,0.347
-0.286,-0.649,0.23,-0.231,0.702,0.288
-0.383,-0.682,0.17,-0.269,0.664,0.228
-0.44,-0.723,0.125,-0.324,0.635,0.177
-0.496,-0.755,0.041,-0.374,0.585,0.115
-0.545,-0.778,-0.033,-0.415,0.541,0.059
-0.614,-0.794,-0.085,-0.459,0.508,0.001
-0.649,-0.82,-0.136,-0.498,0.453,-0.058
-0.683,-0.815,-0.198,-0.53,0.398,-0.1
-0.743,-0.827,-0.262,-0.567,0.345,-0.169
