time,control_1,control_2,control_3,2DG(10mM)_1,2DG(10mM)_2,2DG(10mM)_3,2DG(20mM)_1,2DG(20mM)_2,2DG(20mM)_3,Az(1mM)_1,Az(1mM)_2,Az(1mM)_3
395,208228,497580,131774,155298,293057,63504,124957,248514,55537,140441,574209,214065
400,205328,488908,128413,150093,284735,62299,119794,242794,53938,134311,544519,202504
405,202310,479641,124135,147154,271654,59365,116395,231615,51354,127326,517392,192194
410,199816,467683,121908,142479,262840,56846,111531,222846,48806,122306,493781,184007
415,197456,452683,117341,136906,253290,54884,107728,216610,46524,118349,469180,175208
420,194475,444422,115205,134092,246867,52344,104492,207831,45001,112877,447441,167684
425,190766,430745,114109,130628,238286,50928,101297,201462,43780,109900,426585,160003
430,186730,421540,110053,126881,227396,48987,98223,193665,41965,104955,405871,150399
435,185716,411173,108815,122461,218537,47907,96138,188717,40739,101545,390243,145937
440,182597,399667,105296,119279,212913,46948,92850,182938,38680,98662,373798,138078
445,180788,388811,104039,116035,207924,45335,90724,175839,38181,95617,354299,133568
450,177690,380548,102238,113228,201172,43348,87646,169885,35780,92643,340651,126705
455,176398,373125,101988,110748,195941,42282,85219,166301,35350,88753,328412,122575
460,175508,370991,98465,108394,190612,40956,82380,162407,33194,86656,316137,117749
465,171898,366466,97710,106435,184388,40699,80902,157904,33659,83749,303990,112889
470,169324,359502,95718,103567,179510,39113,78747,153758,32988,81752,292007,109665
475,167517,350540,95091,101782,174706,38377,77994,149515,31551,79542,279972,105096
480,164727,344117,94516,99025,171732,37621,75681,145482,30969,77587,273139,100908
485,165018,341483,91369,96470,169235,36028,74574,143645,29643,75625,264555,97928
490,162937,337631,90760,95007,165214,35288,72462,139994,29168,73196,255049,93570
495,160501,330913,89614,93301,162341,34344,71234,136913,28733,71772,246315,90460
500,159138,327115,88062,91818,159487,33551,69299,134043,27332,69572,237736,86707
505,156418,322956,88438,90993,155195,34196,68331,130890,27855,68524,229375,84320
510,155541,320936,86552,87993,153328,31760,67273,128857,27104,67457,226470,81721
515,153589,317740,85436,86207,150826,31642,66271,126315,26085,65562,219573,79295
520,152686,310910,83633,84635,146324,31128,64602,123085,26123,65011,211867,76712
525,152142,305777,85806,83922,143824,31453,63356,120391,26758,63168,204697,75091
530,148764,301362,81210,82209,141140,28994,62133,117569,24336,61627,199703,70223
535,147686,301049,81117,81004,137195,29782,61232,117174,24100,59864,197617,70282
540,148463,297906,79988,78872,135953,29442,59157,112863,22510,59405,190570,66942
545,145415,293728,78954,77816,131991,27652,58915,111127,22900,58596,184688,65943
550,143883,285988,77170,77847,129446,28221,57430,109023,23064,57239,180794,63581
555,141798,285560,76643,74281,130182,27330,56828,110976,22230,55842,179285,62488
560,140394,281758,76253,72983,127794,28120,55835,107660,22114,55033,173300,61368
565,138868,280841,75463,72154,126014,26444,55406,106762,21374,53815,169502,59002
570,139341,275866,75359,71979,120790,26579,54221,103401,21710,53700,165054,57722
575,136560,269709,76273,70933,121206,28219,53175,101800,21787,52667,160972,57415
580,135104,269491,74835,69357,120450,26452,51881,101255,22018,52039,159499,56264
585,133395,262968,73324,68635,116749,25613,51417,97169,20760,50623,154251,54258
590,131671,262584,71806,67598,117058,25289,50702,98178,20212,50693,153661,53180
595,129809,264075,70696,66009,116296,24863,50039,97981,20334,50398,150652,51888
600,129414,261563,71754,66003,111401,24393,49223,94210,19877,50162,143947,50417
605,127280,255786,70704,64810,110476,24457,48390,94353,19967,49162,145423,49130
610,126472,251089,70952,65061,109483,24993,47421,92504,20031,47585,140327,49001
615,126384,246171,69840,63496,108340,24654,47190,90320,20800,46921,137205,47680
620,124063,244408,68371,61839,107195,24174,46529,89753,19681,46523,134954,46639
625,124082,239959,67469,62068,106312,23037,45969,88867,19328,45819,132903,46159
630,122248,235283,66915,60764,104697,22510,46043,87220,18275,45877,129630,44019
635,121862,232072,65989,60061,102888,22599,45113,86750,18674,45464,127531,44111
640,120284,231563,65770,58727,102354,22280,44332,85051,18604,44256,127519,42832
645,118924,225942,65871,58662,100700,23423,44153,85785,19187,44713,124895,43089
650,118057,226019,65237,58093,99774,21752,43331,84504,18633,43767,123927,41689
655,116905,225038,65231,57888,98772,22196,42699,84507,17774,43261,121712,40730
660,114354,222160,65941,56264,97654,22333,42490,83533,18051,42718,118668,40533
665,114351,218179,66944,56411,95899,23697,42034,81570,18772,42171,116739,39591
670,113610,216055,64954,54728,93995,21626,41101,80801,17545,41852,113987,39687
675,112068,215320,65109,55006,92985,21959,40434,79275,17870,41826,112274,38903
680,111782,211025,64072,54367,91378,21114,40546,77647,17711,41346,111241,38133
685,111289,210004,63357,53520,92306,21429,39310,78316,17200,40688,109876,37025
690,109697,207033,63627,52986,92109,21877,39244,78035,17775,40318,108273,36752
695,108658,208256,62632,52684,90496,20694,38338,77057,16920,39852,106493,35461
700,108459,207702,62582,51615,89758,20667,38246,77478,17162,39885,106026,36144
705,106795,203010,62204,50680,86894,20784,37971,73574,17078,39421,103459,35175
710,105061,201594,62140,49730,86952,20580,37928,73993,16281,39215,102901,33964
715,103289,196532,59667,49325,87153,19816,37144,73880,16736,38458,101633,34087
720,101419,198098,57744,48592,85562,19471,37142,72297,16435,38276,100726,33015
725,100871,197502,57525,47415,86158,19582,36996,73431,16597,37734,100560,32911
730,100957,194235,56668,47390,83683,19522,36692,72093,16107,37224,97289,31564
735,99827,193108,56944,46218,82384,19227,36031,71106,16309,36534,96473,31299
740,98155,194163,56832,46213,83297,19840,34919,72636,16521,36557,96606,31786
745,98414,188847,55567,46389,80812,18600,35039,70224,15285,36374,95171,31794
750,97904,187621,55542,45347,81389,18674,34481,69894,14475,36374,93437,30637
755,96697,187262,55195,45314,80769,19074,34644,67412,15461,35985,93201,31338
760,96975,185362,55419,45161,79067,18978,33931,67931,15830,35846,92110,29742
765,95774,182518,53174,44136,79178,18089,33219,67139,14733,35491,91014,29354
770,94028,180781,55246,43354,78054,18610,32908,65953,15262,35242,89231,29771
775,94060,178771,55635,44161,77621,18734,32344,65504,15568,35253,87655,29097
780,92970,175656,55824,42890,76790,19045,32684,65223,16257,34011,85789,29183
785,92955,174380,53970,42174,75350,18867,32154,65200,14880,34637,85626,28752
790,91281,172984,52448,41366,76808,17503,31895,65495,14167,34244,84844,27629
795,90403,172824,52625,41551,76938,17645,31694,66157,14820,33944,87449,27530
800,91391,171612,51337,40671,76540,17776,31415,64637,14663,33546,85000,28438
805,89388,171681,51655,40124,75639,16970,31102,63626,14638,33926,83762,26877
810,88775,169155,51963,40004,73954,18363,31038,63918,15316,33286,83143,27631
815,89738,164100,51522,40092,72407,18664,30771,61826,14756,33112,80741,26923
