time,cont_1,cont_2,cont_3,2DG_1,2DG_2,2DG_3,Azide_1,Azide_2,Azide_3,hcontrol_1,hcontrol_2,hcontrol_3
198,4719272.6,3393047,6506078.4,1261069,1114751.4,1862931.4,3220241.8,2316113.4,3618191.6,11425081.2,21025686.8,5527540
200,4729395.6,3406643,6510991.4,1261985,1115475.4,1863688.4,3224024.8,2319162.4,3613500.6,11462479.2,21045759.8,5541403
,,,,,,,,,,11493968.2,21056700.8,5557002
,,,,,,,,,,11531713.2,21078663.8,5569232
,,,,,,,,,,11553330.2,21090820.8,5583004
,,,,,,,,,,11570363.2,21098865.8,5588298
,,,,,,,,,,11614521.2,21113998.8,5599685
,,,,,,,,,,11642837.2,21123328.8,5611126
,,,,,,,,,,11673156.2,21126497.8,5625213
,,,,,,,,,,11693226.2,21121645.8,5628587
,,,,,,,,,,11725744.2,21133578.8,5636436
,,,,,,,,,,11751911.2,21130148.8,5645147
,,,,,,,,,,11769179.2,21125847.8,5647756
,,,,,,,,,,11791530.2,21121559.8,5654851
,,,,,,,,,,11807788.2,21113509.8,5660009
,,,,,,,,,,11828503.2,21108462.8,5661933
,,,,,,,,,,11844038.2,21106612.8,5664651
,,,,,,,,,,11845825.2,21084318.8,5673282
,,,,,,,,,,11865399.2,21072703.8,5675290
,,,,,,,,,,11897366.2,21069145.8,5676231
,,,,,,,,,,11909655.2,21064272.8,5681773
,,,,,,,,,,11919427.2,21040963.8,5685688
,,,,,,,,,,11937672.2,21025154.8,5686186
,,,,,,,,,,11951291.2,21006242.8,5686486
,,,,,,,,,,11961316.2,20972341.8,5690388
,,,,,,,,,,11958520.2,20940774.8,5687638
,,,,,,,,,,11967755.2,20925275.8,5690799
,,,,,,,,,,11993486.2,20906619.8,5690016
,,,,,,,,,,12002814.2,20900732.8,5685473
,,,,,,,,,,12012518.2,20849930.8,5683328
,,,,,,,,,,12013912.2,20845510.8,5682433
,,,,,,,,,,12015902.2,20809872.8,5681799
,,,,,,,,,,12025699.2,20793087.8,5682022
,,,,,,,,,,12041133.2,20754387.8,5678184
,,,,,,,,,,12051787.2,20724464.8,5684597
,,,,,,,,,,12079656.2,20697824.8,5672823
,,,,,,,,,,12078856.2,20678776.8,5674648
,,,,,,,,,,12086153.2,20648374.8,5670484
,,,,,,,,,,12100414.2,20610611.8,5666197
,,,,,,,,,,12095748.2,20585624.8,5668017
,,,,,,,,,,12081229.2,20553094.8,5663094
,,,,,,,,,,12091539.2,20518871.8,5659859
,,,,,,,,,,12108712.2,20484685.8,5653688
,,,,,,,,,,12115995.2,20454668.8,5650989
,,,,,,,,,,12086526.2,20424824.8,5648206
,,,,,,,,,,12117645.2,20398401.8,5639753
,,,,,,,,,,12139808.2,20356115.8,5634037
,,,,,,,,,,12124111.2,20322852.8,5628540
,,,,,,,,,,12136333.2,20290963.8,5623697
,,,,,,,,,,12146613.2,20258095.8,5618429
,,,,,,,,,,12142056.2,20225382.8,5615235
,,,,,,,,,,12144068.2,20196542.8,5612167
,,,,,,,,,,12167985.2,20153593.8,5607253
,,,,,,,,,,12162429.2,20123729.8,5599810
,,,,,,,,,,12158051.2,20101056.8,5598707
,,,,,,,,,,12162519.2,20052217.8,5586278
,,,,,,,,,,12176959.2,20025530.8,5588119
,,,,,,,,,,12169945.2,19985635.8,5574826
,,,,,,,,,,12181286.2,19943020.8,5569623
,,,,,,,,,,12183514.2,19919899.8,5561007
,,,,,,,,,,12197947.2,19883937.8,5557288
,,,,,,,,,,12206965.2,19845412.8,5549167
,,,,,,,,,,12206651.2,19819780.8,5543214
,,,,,,,,,,12207594.2,19787728.8,5541481
,,,,,,,,,,12232307.2,19746760.8,5534271
,,,,,,,,,,12221446.2,19717250.8,5520929
,,,,,,,,,,12244016.2,19692182.8,5525721
,,,,,,,,,,12253698.2,19649090.8,5518778
,,,,,,,,,,12268954.2,19618064.8,5513346
,,,,,,,,,,12281229.2,19585981.8,5502608
,,,,,,,,,,12263479.2,19547244.8,5500658
,,,,,,,,,,12291616.2,19523665.8,5489817
,,,,,,,,,,12298118.2,19475128.8,5485476
,,,,,,,,,,12292840.2,19450076.8,5479082
,,,,,,,,,,12282769.2,19416350.8,5476767
,,,,,,,,,,12318240.2,19388032.8,5463859
,,,,,,,,,,12317252.2,19356144.8,5459284
,,,,,,,,,,12314372.2,19319624.8,5457784
,,,,,,,,,,12330455.2,19292970.8,5448204
,,,,,,,,,,12312832.2,19265842.8,5439885
,,,,,,,,,,12338003.2,19234837.8,5434388
,,,,,,,,,,12363715.2,19203842.8,5423290
,,,,,,,,,,12374841.2,19170877.8,5426476
,,,,,,,,,,12372537.2,19145229.8,5414717
,,,,,,,,,,12368965.2,19110458.8,5410084
,,,,,,,,,,12364964.2,19077300.8,5404089
,,,,,,,,,,12370015.2,19052246.8,5397588
,,,,,,,,,,12373266.2,19024496.8,5393407
,,,,,,,,,,12413747.2,18998241.8,5384714
,,,,,,,,,,12421841.2,18968939.8,5387248
,,,,,,,,,,12416525.2,18936463.8,5376567
,,,,,,,,,,12442665.2,18913024.8,5370680
,,,,,,,,,,12415984.2,18882040.8,5365410
,,,,,,,,,,12431982.2,18854646.8,5356156
,,,,,,,,,,12428605.2,18823954.8,5349244
,,,,,,,,,,12441297.2,18804571.8,5345293
,,,,,,,,,,12446446.2,18773289.8,5341237
,,,,,,,,,,12476086.2,18742366.8,5332250
,,,,,,,,,,12471957.2,18723586.8,5329257
,,,,,,,,,,12477261.2,18688280.8,5323961
,,,,,,,,,,12485237.2,18660505.8,5316232
,,,,,,,,,,12500851.2,18638121.8,5308960
,,,,,,,,,,12521418.2,18612675.8,5304529
,,,,,,,,,,12530981.2,18582968.8,5297423
,,,,,,,,,,12532256.2,18562244.8,5292390
,,,,,,,,,,12528602.2,18539071.8,5294478
,,,,,,,,,,12533438.2,18504826.8,5285258
,,,,,,,,,,12529231.2,18486539.8,5278093
,,,,,,,,,,12521985.2,18457357.8,5274374
,,,,,,,,,,12539873.2,18438534.8,5268726
,,,,,,,,,,12544559.2,18415802.8,5266133
,,,,,,,,,,12567678.2,18391722.8,5257700
,,,,,,,,,,12563658.2,18368554.8,5254870
,,,,,,,,,,12573423.2,18345679.8,5250175
,,,,,,,,,,12563342.2,18314605.8,5244030
,,,,,,,,,,12581607.2,18287585.8,5236171
,,,,,,,,,,12590082.2,18272288.8,5234958
,,,,,,,,,,12597254.2,18240308.8,5230021
,,,,,,,,,,12591499.2,18220479.8,5227167
,,,,,,,,,,12614262.2,18194044.8,5220557
,,,,,,,,,,12620600.2,18171706.8,5211107
,,,,,,,,,,12601322.2,18154655.8,5206074
,,,,,,,,,,12608027.2,18124907.8,5205114
,,,,,,,,,,12633332.2,18094524.8,5200519
,,,,,,,,,,12638145.2,18075849.8,5194598
,,,,,,,,,,12653338.2,18052902.8,5189123
,,,,,,,,,,12642158.2,18034536.8,5182343
,,,,,,,,,,12636404.2,18012877.8,5180773
,,,,,,,,,,12659786.2,17987071.8,5175812
,,,,,,,,,,12669203.2,17963005.8,5169979
,,,,,,,,,,12661345.2,17940657.8,5164833
,,,,,,,,,,12664671.2,17916418.8,5157064
,,,,,,,,,,12679194.2,17898494.8,5158560
,,,,,,,,,,12664874.2,17874912.8,5148220
,,,,,,,,,,12672985.2,17841804.8,5147143
,,,,,,,,,,12673317.2,17824045.8,5146724
,,,,,,,,,,12680228.2,17802586.8,5137878
,,,,,,,,,,12644519.2,17792430.8,5139146
,,,,,,,,,,12679607.2,17757831.8,5129182
,,,,,,,,,,12688740.2,17733820.8,5124107
,,,,,,,,,,12672202.2,17717445.8,5116869
,,,,,,,,,,12697805.2,17691538.8,5116488
,,,,,,,,,,12671706.2,17674012.8,5108760
,,,,,,,,,,12682686.2,17642447.8,5106366
,,,,,,,,,,12699304.2,17621754.8,5101901
,,,,,,,,,,12682308.2,17594719.8,5097450
,,,,,,,,,,12679704.2,17574814.8,5091904
,,,,,,,,,,12681027.2,17551763.8,5088660
,,,,,,,,,,12683107.2,17527330.8,5081539
,,,,,,,,,,12679122.2,17506559.8,5076261
,,,,,,,,,,12690960.2,17476913.8,5071202
,,,,,,,,,,12701905.2,17453091.8,5069910
